City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,machico,32.7,-16.7667,21.67,89,75,1.03,PT,1702245001
191,tadine,-21.55,167.8833,24.87,59,98,7.04,NC,1702245001
192,vila franca do campo,37.7167,-25.4333,18.27,99,100,4.23,PT,1702245002
193,isafjordur,66.0755,-23.124,-2.61,85,100,3.22,IS,1702245003
194,fougamou,-1.2154,10.5838,24.03,97,100,0.63,GA,1702245004
195,turbat,26.0023,63.044,20.08,21,0,2.06,PK,1702245004
196,bilibino,68.0546,166.4372,-26.17,98,45,1.96,RU,1702244834
197,aroma,15.8167,36.1333,27.33,32,53,3.91,SD,1702245006
198,kimbe,-5.5502,150.1429,24.8,97,100,1.17,PG,1702245006
199,camarinas,43.1311,-9.1817,18.29,85,100,10.91,ES,1702245007
200,gargalianoi,37.0667,21.6333,10.2,86,100,4.62,GR,1702245007
201,nyurba,63.2842,118.3319,-29.17,98,100,2.5,RU,1702245007
202,rudbar,30.15,62.6,13.07,33,1,0.73,AF,1702245008
203,ta'if,21.2703,40.4158,13.56,37,68,2.21,SA,1702245008
204,kolonia town,6.964,158.206,28.06,78,75,5.14,FM,1702245009
205,ad dilam,23.9915,47.1627,17.23,18,89,2.11,SA,1702245009
206,cabo san lucas,22.8909,-109.9124,29.78,56,0,3.6,MX,1702244772
207,tolanaro,-25.0319,46.9987,26.04,89,20,10.8,MG,1702245009
208,ciudad lazaro cardenas,17.9583,-102.2,28.1,63,100,2.03,MX,1702245010
209,bubaque,11.2833,-15.8333,28.93,57,100,5.14,GW,1702245011
210,itoman,26.1247,127.6694,23.43,92,75,2.06,JP,1702245011
211,papao,-17.75,-149.55,30.82,83,70,12.46,PF,1702245012
212,cruzeiro do sul,-29.5128,-51.9853,23.62,91,87,1.35,BR,1702245012
213,vadso,70.0744,29.7487,-11.91,85,40,10.8,NO,1702245013
214,harper,4.375,-7.7169,26.81,82,26,3.07,LR,1702245013
215,bonito,-21.1211,-56.4819,21.88,98,100,1.62,BR,1702245013
216,stephenville,32.2207,-98.2023,13.42,20,0,2.06,US,1702245014
217,lazarevskoye,43.9061,39.3331,11.55,92,100,6.82,RU,1702245014
218,nova sintra,14.8667,-24.7167,23.1,74,100,4.22,CV,1702245014
219,juigalpa,12.1063,-85.3645,31.95,62,40,5.14,NI,1702245015
220,nadi,-17.8,177.4167,28.0,42,40,5.66,FJ,1702245015
221,sisimiut,66.9395,-53.6735,-3.77,93,100,5.9,GL,1702245015
222,aghajari,30.7006,49.8315,20.12,41,100,3.06,IR,1702245016
223,brookings,44.3114,-96.7984,0.66,76,100,1.26,US,1702244945
224,ust-tsilma,65.441,52.1498,-25.77,99,100,2.24,RU,1702245016
225,tyumen,57.1522,65.5272,-34.81,66,20,4.0,RU,1702245017
226,santa marta,11.2408,-74.199,35.03,52,20,3.09,CO,1702245017
227,wagar,16.1525,36.2032,26.37,49,62,4.0,SD,1702245018
228,fort bragg,35.139,-79.006,21.85,86,100,3.6,US,1702245018
229,sitka,57.0531,-135.33,2.94,87,40,3.09,US,1702245019
230,chernyshevskiy,63.0128,112.4714,-30.23,99,100,1.33,RU,1702245019
231,vinh,18.6667,105.6667,21.85,95,15,0.88,VN,1702245020
232,vernon,50.2581,-119.2691,4.78,86,100,3.6,CA,1702245022
233,mount isa,-20.7333,139.5,22.87,53,97,6.17,AU,1702245022
234,lebu,-37.6167,-73.65,14.12,83,100,9.37,CL,1702245023
235,beira,-19.8436,34.8389,27.05,78,40,6.26,MZ,1702245023
236,kupino,54.3663,77.2981,-29.02,99,92,2.67,RU,1702245024
237,beaufort west,-32.3567,22.583,14.2,71,0,5.02,ZA,1702245024
238,puerto carreno,6.189,-67.4859,33.99,49,20,4.12,CO,1702245025
239,flin flon,54.7682,-101.865,-9.09,100,100,2.57,CA,1702245025
240,cadale,2.7603,46.3222,27.4,79,16,6.47,SO,1702245025
241,shortandy,51.7006,70.9994,-24.75,95,97,2.98,KZ,1702245026
242,primero de mayo,-32.2552,-58.4228,27.68,53,11,2.03,AR,1702245026
243,novodvinsk,64.4165,40.8122,-16.14,91,100,5.06,RU,1702245027
244,kapa'a,22.0752,-159.319,27.18,75,20,4.63,US,1702245027
245,sao joao da barra,-21.6403,-41.0511,25.05,79,28,3.17,BR,1702245028
246,boguchany,58.3814,97.4531,-33.97,100,36,0.89,RU,1702245028
247,monte argentario,42.4345,11.1195,7.89,70,75,1.84,IT,1702245028
248,lazaro cardenas,17.9583,-102.2,28.1,63,100,2.03,MX,1702245010
249,port shepstone,-30.7414,30.455,19.19,83,100,3.26,ZA,1702245029
250,khandud,36.9513,72.318,-8.79,36,67,0.76,AF,1702245030
251,uturoa,-16.7333,-151.4333,26.91,80,43,10.14,PF,1702245030
252,la'ie,21.6477,-157.9253,28.98,72,23,2.24,US,1702245030
253,arar,30.9753,41.0381,13.01,76,0,4.12,SA,1702245031
254,manicore,-5.8092,-61.3003,28.85,66,100,0.05,BR,1702245031
255,yunyang,33.4474,112.7142,-1.49,93,97,5.74,CN,1702245032
256,ta`u,-14.2336,-169.5144,24.86,92,100,7.44,AS,1702245032
257,labasa,-16.4167,179.3833,28.29,49,62,2.97,FJ,1702245032
258,haiku-pauwela,20.9219,-156.3051,29.01,48,20,1.54,US,1702245033
259,moyale,3.5167,39.0584,21.26,45,5,4.79,KE,1702245033
260,porto velho,-8.7619,-63.9039,32.03,58,40,1.03,BR,1702244812
261,alamos,27.0167,-108.9333,30.68,10,0,2.12,MX,1702245034
262,freetown,8.484,-13.2299,26.84,77,90,3.14,SL,1702245035
263,timra,62.487,17.3257,-3.18,80,100,0.51,SE,1702245035
264,east london,-33.0153,27.9116,16.9,78,90,2.74,ZA,1702245036
265,jequie,-13.8575,-40.0836,26.37,62,67,4.3,BR,1702245036
266,taroa,8.7058,171.2275,27.67,80,52,9.56,MH,1702245036
267,queenstown,-31.8976,26.8753,11.29,91,100,2.01,ZA,1702245037
268,saint-francois,46.4154,3.9054,12.58,94,100,4.12,FR,1702244921
269,saipan,15.1355,145.701,26.39,83,20,4.63,MP,1702245037
270,vuktyl,63.8567,57.3094,-30.5,100,78,0.89,RU,1702245038
271,fagaras,45.85,24.9667,-1.77,85,100,1.01,RO,1702245038
272,badger,64.8,-147.5333,-20.66,74,0,1.54,US,1702245038
273,mahabad,36.7631,45.7222,5.9,88,38,3.53,IR,1702245039
274,lebork,54.5392,17.7501,1.35,92,100,5.1,PL,1702245039
275,reggane,26.7158,0.1714,16.41,40,4,4.89,DZ,1702245039
276,moires,35.0532,24.8744,12.64,85,100,0.64,GR,1702245040
277,saint croix,17.7397,-64.7388,28.25,83,20,7.2,VI,1702245040
278,happy valley-goose bay,53.3168,-60.3315,0.17,74,100,5.14,CA,1702245040
279,tual,-5.6667,132.75,28.9,75,96,6.23,ID,1702245041
280,mandalgovi,45.7625,106.2708,-16.19,93,100,2.49,MN,1702245041
281,diffa,13.3154,12.6113,20.65,24,76,5.2,NE,1702245042
282,gunjur,13.2019,-16.7339,25.04,57,0,3.09,GM,1702245042
283,college,64.8569,-147.8028,-20.61,76,40,1.54,US,1702245042
284,puerto quijarro,-17.7833,-57.7667,32.54,46,98,1.52,BO,1702245042
285,nelson bay,-32.7167,152.15,25.06,72,1,2.24,AU,1702245043
286,afaahiti,-17.75,-149.2833,29.93,83,90,11.07,PF,1702245043
287,paraiso,9.8383,-83.8656,23.48,70,51,1.78,CR,1702245044
288,andergrove,-21.0833,149.1833,24.25,76,100,12.76,AU,1702245044
289,mogocha,53.7333,119.7667,-34.54,96,5,1.38,RU,1702245044
290,maracacume,-2.0428,-45.9592,24.45,90,80,1.46,BR,1702245044
291,laguna,38.421,-121.4238,16.65,57,0,3.09,US,1702245045
292,miguel ahumada,30.6167,-106.5167,11.48,17,0,0.87,MX,1702245045
293,point pedro,9.8167,80.2333,26.84,80,100,6.36,LK,1702245045
294,dampit,-8.2116,112.7493,21.84,91,91,0.6,ID,1702245046
295,bardai,11.65,7.2333,19.54,24,47,4.36,NG,1702245046
296,porto novo,6.4965,2.6036,28.9,83,3,3.07,BJ,1702245046
297,arraial do cabo,-22.9661,-42.0278,23.98,69,40,4.63,BR,1702245047
298,al kharijah,25.4514,30.5464,17.74,28,98,2.5,EG,1702245047
299,linxia chengguanzhen,35.6003,103.2064,-0.52,56,98,0.9,CN,1702245047
300,brokopondo,4.75,-55.1667,27.78,74,99,3.19,SR,1702245048
301,summerland,49.5998,-119.6691,5.6,77,75,5.14,CA,1702245048
302,kuching,1.55,110.3333,27.24,94,20,1.54,MY,1702245048
303,griffith,41.5284,-87.4237,1.73,84,100,3.6,US,1702244750
304,westport,41.1415,-73.3579,15.26,93,100,6.17,US,1702245049
305,akureyri,65.6835,-18.0878,-14.04,92,0,0.0,IS,1702245049
306,joshimath,30.5667,79.5667,6.0,23,15,3.55,IN,1702245050
307,mandera,3.9366,41.867,29.08,45,36,2.77,KE,1702245050
308,jaicos,-7.3592,-41.1378,29.49,47,51,1.61,BR,1702245050
309,zhanaozen,43.3,52.8,-3.13,87,100,7.49,KZ,1702245050
310,albertina,-22.2008,-46.6158,18.38,97,76,0.5,BR,1702245051
311,moab,38.5733,-109.5498,5.27,35,98,0.65,US,1702245051
312,taulaga,-11.0553,-171.0883,27.82,77,100,6.67,AS,1702245051
313,constantia,44.1833,28.65,0.39,85,55,4.31,RO,1702245052
314,freeport,40.6576,-73.5832,15.43,92,100,11.32,US,1702245052
315,kingston,17.997,-76.7936,29.53,62,40,11.83,JM,1702244973
316,hajin,34.6927,40.827,15.7,60,86,3.45,SY,1702245052
317,morondava,-20.2833,44.2833,27.71,74,66,2.03,MG,1702245053
318,mount pleasant,32.7941,-79.8626,21.81,96,100,4.12,US,1702245053
319,kiunga,-6.1219,141.2906,22.49,99,100,1.09,PG,1702245053
320,ghanzi,-21.5667,21.7833,19.23,85,60,5.79,BW,1702245041
321,general acha,-37.377,-64.6043,31.89,13,48,7.47,AR,1702245054
322,minas de marcona,-15.2119,-75.1103,18.46,65,81,6.13,PE,1702245054
323,gusinoozyorsk,51.2833,106.5,-26.61,98,18,0.5,RU,1702245054
324,mexico,15.0646,120.7198,24.84,86,77,1.88,PH,1702245008
325,el calafate,-50.3408,-72.2768,11.28,69,100,4.14,AR,1702245055
326,hilo,19.7297,-155.09,29.04,96,96,3.13,US,1702245055
327,sinazongwe,-17.2614,27.4618,28.52,60,100,8.64,ZM,1702245055
328,posto fiscal rolim de moura,-13.0833,-62.2667,24.33,96,87,1.85,BR,1702245055
329,mahdia,35.5047,11.0622,15.97,72,2,7.53,TN,1702244885
330,cannonvale,-20.2833,148.7,24.66,87,100,12.74,AU,1702245056
331,prado,-17.3411,-39.2208,24.86,83,0,2.22,BR,1702245056
332,salekhard,66.53,66.6019,-28.76,100,100,3.62,RU,1702245056
333,charcas,23.1333,-101.1167,13.24,73,73,3.79,MX,1702245057
334,ca mau,9.1769,105.15,23.54,96,47,2.19,VN,1702245057
335,kapustin yar,48.5831,45.7372,-6.8,70,73,5.61,RU,1702245057
336,pitimbu,-7.4706,-34.8086,27.33,68,16,2.16,BR,1702245057
337,vilyuysk,63.7553,121.6247,-29.28,97,100,3.36,RU,1702245058
338,ouro branco,-20.5208,-43.6919,18.44,97,34,2.7,BR,1702245058
339,la peca,-5.6111,-78.435,28.05,61,36,2.46,PE,1702245058
